39,Sleeveless Self Design Men Sweatshirt,209,4,"GRITSTONES, Since 7 Years 4 months",https://rukminim1.flixcart.com/image/800/960/vest/z/z/a/m-gsvsthd1260gmwht-gritstones-original-imaeryh8nmgpgcbq.jpeg?q=50,fash
40,Walking Shoes for Men(Blue),319,4,"PrideShoes, Since 3 Years 5 months",https://rukminim1.flixcart.com/image/800/960/k5vcya80/shoe/z/b/5/mrj1366-41-aadi-blue-original-imafz9xm47ngkqmn.jpeg?q=50,fash
41,Running Shoes for Men(Black),318,3.9,"Dadwanis Footwear, Since 3 Years 3 months",https://rukminim1.flixcart.com/image/800/960/kbtp0280/shoe/c/k/k/gm1251-43-good-minar-black-original-imaft34ej4zx2z63.jpeg?q=50,fash
42,DK11914-2 Analog Watch - for Women,1349,4.4,"RetailNet, Since 5 Years 1 month",https://rukminim1.flixcart.com/image/800/960/kingqkw0-0/watch/5/v/u/dk11914-2-daniel-klein-original-imafye2hbzeh58f5.jpeg?q=50,fash
43,Bracelet 3 Petal Rosegold Pink New Analog Watch - For Girls,217,4,"Daniel Jubile, Since 1 Year 11 months",https://rukminim1.flixcart.com/image/800/960/k7dnonk0/watch/a/c/h/bracelet-3-petal-rosegold-pink-daniel-jubile-original-imafpmm4cad3fjrq.jpeg?q=50,fash
44,A Little Princes (Frances Hodgson Burnett),99,4.5,"NSP Retail, Seller since 3 Years",https://rukminim1.flixcart.com/image/416/416/kkec4280/book/2/0/l/a-little-princess-original-imafzraf2zffkhmv.jpeg?q=70,book
45,1984 (George Orwell),99,4.5,"NSP Retail, Seller since 3 Years",https://rukminim1.flixcart.com/image/416/416/jv6zi4w0/book/7/3/9/1984-original-imafg5pkdzburhsm.jpeg?q=70,book
46,CBSE CLASS 10 RINAL REVISION OF ALL SUBJECTS 2021,198,4.4,"Global Retail Ventures, Seller since 6 months",https://rukminim1.flixcart.com/image/416/416/kljrvrk0/book/u/e/k/educart-cbse-class-10-final-revision-book-of-all-subjects-for-original-imagyn73ykyjsgqe.jpeg?q=70,book
47,INDIAN POLITY for Civil Services and Other State Examinations(M Laxmikanth),590,4.6,"TrueComRetail,Seller since 4 Years 8 months",https://rukminim1.flixcart.com/image/416/416/k2xmd8w0/book/4/7/2/indian-polity-for-civil-services-and-other-state-examinations-original-imafm6fyuwxbdjks.jpeg?q=70,book
48,ENVIRONMENT 7th Revised Edition(Shankar IAS Academy),190,4.2,Shree Book,https://rukminim1.flixcart.com/image/416/416/k5r2mq80/regionalbooks/v/g/c/environment-7th-revised-edition-by-shankar-ias-academy-original-imafzd6wqwtpdqff.jpeg?q=70,book
49,HANDBOOK OF BANKING INFORMATION(N.S.TOOR),348,4.5,"MittalBrothers, Seller since 6 Years 7 months",https://rukminim1.flixcart.com/image/416/416/kjuby4w0/book/z/t/4/handbook-of-banking-information-50th-ed-original-imafzbwy5rtfzzbe.jpeg?q=70,book
50,General Knowledge 2021(Manohar Reddy),197,4.4,"Global Retail Ventures, Seller since 6 months",https://rukminim1.flixcart.com/image/416/416/k6v2ykw0/regionalbooks/t/z/c/general-knowledge-2020-21-combo-lucent-with-arihant-paperback-original-imafp8gacypacqcg.jpeg?q=70,book
51,THE PURSUIT OF HAPPINESS(DANIEL G BRINTON),99,4.3,"NSP Retail, Seller since 3 Years",https://rukminim1.flixcart.com/image/416/416/kkec4280/book/4/3/g/the-pursuit-of-happiness-original-imafzra6tnxyrmbq.jpeg?q=70,book
52,Think and Grow Rich(Napoleon Hill),99,4.5,"NSP Retail, Seller since 3 Years",https://rukminim1.flixcart.com/image/416/416/klo27bk0/book/5/i/a/think-grow-rich-original-imagyqtmdsthhqxt.jpeg?q=70,book
53,Oliver Twist(Charles Dickens),129,4.6,"NSP Retail, Seller since 3 Years",https://rukminim1.flixcart.com/image/416/416/kkec4280/book/o/c/o/oliver-twist-paperback-original-imafzr7zpjzhyfsh.jpeg?q=70,book
54,One Arrange Marriage Murder(Chetan Bhagat),150,4.6,"TrueComRetail,Seller since 4 Years 8 months",https://rukminim1.flixcart.com/image/416/416/kdxfc7k0/book/1/3/9/one-arranged-murder-original-imafuqfpfthrvzsz.jpeg?q=70,book
55,NATIONALISM(RABINDRANTH TAGORE),89,4.5,"NSP Retail, Seller since 3 Years",https://rukminim1.flixcart.com/image/416/416/k1nw9zk0/book/1/0/5/nationalism-original-imafh62jfuwbjzxt.jpeg?q=70,book
56,THE ALCHEMIST(PAULO COELHO),172,4.6,"TrueComRetail,Seller since 4 Years 8 months",https://rukminim1.flixcart.com/image/416/416/kjhgzgw0-0/book/m/m/u/alchemist-original-imafzfhzefg8etxh.jpeg?q=70,book
57,COMPUTER AWARENESS(ARIHANT),140,4.4,"KANAV2810,Seller since 4 Years 4 months",https://rukminim1.flixcart.com/image/416/416/kjuby4w0/book/m/y/6/objective-computer-awareness-original-imafzbwht3vf7z4s.jpeg?q=70,book
58,INDIAN ECONOMY for Civil Services and Other State Examinations(Nitin Singhania),390,4.6,"TrueComRetail,Seller since 4 Years 8 months",https://rukminim1.flixcart.com/image/416/416/kbqu4cw0/book/1/0/1/indian-economy-for-civil-services-and-other-competitive-original-imafty6vkgugb9yd.jpeg?q=70,book
59,ADOLF HITLER(MEIN KAMPF),175,4.5,"NSP Retail, Seller since 3 Years",https://rukminim1.flixcart.com/image/416/416/k0r15e80/book/4/2/6/mein-kampf-original-imafkh7pudtdygad.jpeg?q=70,book
60,PRIDE AND PREJUDICE(JANE AUSTEN),99,4.5,"NSP Retail, Seller since 3 Years",https://rukminim1.flixcart.com/image/416/416/k0r15e80/book/5/0/4/pride-prejudice-original-imafkh5yx6etvjhf.jpeg?q=70,book
61,FRANKENSTEIN(SHELLY MARY),90,4.5,"NSP Retail, Seller since 3 Years",https://rukminim1.flixcart.com/image/416/416/kkec4280/book/h/u/r/frankenstein-original-imafzra2g2swy8rh.jpeg?q=70,book
62,AS A MAN THINKETH(JAMES ALLEN),65,4.4,"NSP Retail, Seller since 3 Years",https://rukminim1.flixcart.com/image/416/416/kkec4280/book/e/x/h/as-a-man-thinketh-original-imafzr7rhw5kk5dc.jpeg?q=70,book
63,A Potrait of the Artist as a Young Man(JAMES JOYCE),119,4.5,"NSP Retail, Seller since 3 Years",https://rukminim1.flixcart.com/image/416/416/k1nw9zk0/book/8/8/7/a-portrait-of-the-artist-as-a-young-man-original-imafh6yhbabzbfh4.jpeg?q=70,book
64,"Remembrand ThunderBass 450 Bluetooth Headset(Active Black, In the Ear)",699,4.1,"TheSmartSeller ,Sellersince4years8months",https://rukminim1.flixcart.com/image/416/416/kamtsi80/headphone/9/y/c/thunderbass-450-remembrand-original-imafpzekejwuyqeg.jpeg?q=70,electric
65,"BoAt Rockerz 450 Bluetooth Headset(Luscious Black, On the Ear)",1299,4.3,CORSECA Seller since1year0months,https://rukminim1.flixcart.com/image/416/416/k9stjm80/headphone/e/o/f/rockerz-450-boat-original-imafrgfsan7mpvdf.jpeg?q=70,electric
66,"Mivi DuoPods M20 True Wireless Bluetooth Headset(Black, True Wireless)",1099,4,"SuperComNet,Seller since 4years8months",https://rukminim1.flixcart.com/image/416/416/kbtp0280/headphone/8/v/b/tedpm20-bk-mivi-original-imaft33hphgycrwz.jpeg?q=70,electric
67,"JBL Endurance RunBT IPX5 Sports Bluetooth Headset(Black, Grey, In the Ear)",1999,4,CORSECA Seller since1year0months,https://rukminim1.flixcart.com/image/416/416/ka2tmkw0/headphone/h/g/f/jblendurrunbtblk-jbl-original-imafrqfqzghfjgyh.jpeg?q=70,electric
68,"OnePlus Buds Z Bluetooth Headset(White, True Wireless)",2999,4.3,"SuperComNet,Seller since4years8months",https://rukminim1.flixcart.com/image/416/416/kg8avm80-0/headphone/5/j/8/e502a-oneplus-original-imafwgkvh7jftzdg.jpeg?q=70,electric
69,"PHILIPS TAT1215BK (TWS) with IPX4 Splash-Proof Design Bluetooth Headset(Black, True Wireless)",1499,3.8,"SuperComNet,Seller since4years8months",https://rukminim1.flixcart.com/image/416/416/kkzrpu80/headphone/u/w/8/tat1215bk-97-philips-original-imagy7hzhatcv4g2.jpeg?q=70,electric
70,"realme C11 (Rich Grey, 32 GB)(2 GB RAM)",6999,4.4,"SuperComNet, Seller since,4years8months",https://rukminim1.flixcart.com/image/416/416/kcdp5zk0/mobile/g/t/z/realme-c11-rmx2185-original-imaftjf8nadztg9c.jpeg?q=70,electric
71,"POCO C3 (Arctic Blue, 64 GB)(4 GB RAM)",7999,4.3,"Truenet Commerce ,Seller since 3years8months",https://rukminim1.flixcart.com/image/416/416/kfvfwy80/mobile/j/h/t/poco-c3-mzb07riin-original-imafw8qbg63kvngr.jpeg?q=70,electric
72,"Redmi 9 Prime (Sunrise Flare, 64 GB)(4 GB RAM)",9499,4.4,GRAHGOODS RETAIL Seller since1year0months,https://rukminim1.flixcart.com/image/416/416/ke1pnrk0/mobile/g/2/p/mi-redmi-9-prime-m2004j191-original-imafuteqf9gdxdcg.jpeg?q=70,electric
73,"POCO M2 Pro (Out of the Blue, 64 GB)(4 GB RAM)",11999,4.4,"Vision Star Vision Star,Seller since,3years8months",https://rukminim1.flixcart.com/image/416/416/kcauaa80/mobile/b/b/u/poco-m2-pro-mzb9628in-original-imaftg8dbxfqhddh.jpeg?q=70,electric
74,Panasonic 100 cm (40 inch) Full HD LED Smart Android TV(TH-40HS450DX),26999,4.3,"OmniTechRetail ,Seller since 4years8months",https://rukminim1.flixcart.com/image/416/416/kesv0y80/television/3/e/m/panasonic-th-40hs450dx-original-imafvejq988merwd.jpeg?q=70,electric
75,Mi 4X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,27999,4.3,"Tayab Manch Fashions,Seller since9months",https://rukminim1.flixcart.com/image/416/416/kc54ivk0/television/r/q/g/mi-l43m4-4ain-original-imaftc5fy6bfmhyb.jpeg?q=70,electric
76,Vu Premium 80 cm (32 inch) HD Ready LED Smart Android TV(32US),14999,4.3,RAMTHRALLA Retail Seller since1year0months,https://rukminim1.flixcart.com/image/416/416/k7xnukw0/television/y/g/h/vu-32us-32us-original-imafq2fmb4cthrbp.jpeg?q=70,electric
77,HAVELLS bt5113c Runtime: 120 min Trimmer for Men(Green),799,4.2,"RetailNet,Seller since 5years1month",https://rukminim1.flixcart.com/image/416/416/kd3f3bk0/trimmer/4/m/u/0-5-15-mm-stainless-steel-bt5113-corded-cordless-havells-original-imafu2g6qbugq2tr.jpeg?q=70,electric
78,Mi XXQ01HM Runtime: 90 min Trimmer for Men(Black),1319,4.3,CORSECA Seller since1year0months,https://rukminim1.flixcart.com/image/416/416/k12go7k0/trimmer/e/z/r/xxq01hm-mi-original-imafknhtkmezde6p.jpeg?q=70,electric
79,PHILIPS MG3747/15 Runtime: 70 min Trimmer for Men(Black),1699,4.3,"RetailNet,Seller since 5years1month",https://rukminim1.flixcart.com/image/416/416/klv7ekw0/trimmer/1/u/w/na-stainless-steel-mg3747-15-cordless-philips-original-imagyw6rxmbddhyn.jpeg?q=70,electric
80,"ASUS GT-AC5300 3200 Mbps Gaming Router(Black, Tri Band)",24099,4.6,"RetailNet,Seller since 5years1month",https://rukminim1.flixcart.com/image/416/416/juwzf680/router/d/n/j/asus-gt-ac5300-original-imaffy4fmszqxamg.jpeg?q=70,electric
81,"TP-Link Archer C6 1200 Mbps Router(Black, Dual Band)",2499,4.4,"RetailNet,Seller since 5years1month",https://rukminim1.flixcart.com/image/416/416/jmthle80/router/f/q/2/tp-link-archer-c6-original-imaf9mx8hds8bbhy.jpeg?q=70,electric
82,"TP-LINK TL-WR841N 300Mbps Wireless N Router(White, Single Band)",1099,4.3,"RetailNet,Seller since 5years1month",https://rukminim1.flixcart.com/image/416/416/jhjg13k0/router/w/n/2/tp-link-wireless-n-original-imaf5j9wj4vfudfn.jpeg?q=70,electric
83,"realme Watch S (Black Strap, Regular)#JustHere",4999,4.3,"RetailNet,Seller since 5years1month",https://rukminim1.flixcart.com/image/416/416/ki7qw7k0/smartwatch/e/p/b/rma207-android-realme-original-imafy2fxtuzghm5m.jpeg?q=70,electric
